Model,Accuracy,MSE,R2_score
Linear Regression,7.37243938585328,6293718529.871279,0.0737243938585328
Random Forest,98.5627762453817,97654323.57322498,0.985627762453817
Gradient Boost,83.1139826123527,1147345777.2581482,0.831139826123527
XGBoost,97.43174314498901,174504240.0,0.9743174314498901
KNN,28.903963449554983,4830726834.121146,0.2890396344955498
Decision Tree,97.61738503099876,161890347.54372624,0.9761738503099876
Bagging Regressor,98.58809528333562,95933983.56564394,0.9858809528333562
